,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03M_impro06_M001.wav,e3,ALRIGHT .
314,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_impro05_F012.wav,e0,SOMETIMES IT GETS STOLEN  SOMETIMES IT GETS MISPLACED ON ANOTHER PLANE  AND .
850,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_script02_1_F001.wav,e0,WHAT FLASHLIGHT .
3125,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_impro07_F015.wav,e1,AWESOME .
1262,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04M_script01_3_F022.wav,e3,HOW MANY .
1981,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_impro07_F000.wav,e1,SO GUESS WHAT .
3933,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_script01_3_M006.wav,e0,HOW DID YOU KNOW .
2447,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_script03_2_M039.wav,e2,TURN IT OFF .
1984,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03F_script03_2_M029.wav,e2,I'M NOT IN THE LEAST BIT DRUNK .
699,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_script01_3_M022.wav,e3,YEAH I SUPPOSE I HAVE BEEN  BUT IT'S GOING FROM ME .
1708,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_script03_2_M032.wav,e0,ALL RIGHT I WILL .
1925,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03M_impro03_F010.wav,e1,{LG} SO NASTY NO  YOU DIRTY ME .
140,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_script02_2_M017.wav,e0,OKAY SO I'M . GETTING ON MY JACKET AND  PUTTING OUT THE ANIMALS GETTING THE CAR OUT OF THE GARAGE .
522,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02F_script02_2_F021.wav,e3,NO .
3948,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_impro03_F007.wav,e1,I KNOW ME NEITHER .
332,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04M_impro04_F017.wav,e0,{LG} .
804,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_impro03_M032.wav,e0,OKAY THAT  SOUNDS GOOD . UM AND UH WE'RE GOING TO GET LIKE A FIVE . UH STORY CAKE  RIGHT .
1909,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_impro03_M036.wav,e1,WELL THIS IS REALLY EXCITING I MEAN . I JUST I COULDN'T BE HAPPIER RIGHT NOW .
2135,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03F_script03_2_M015.wav,e2,REALLY AMANDA .
3973,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_impro05_F011.wav,e2,LOOK . FIFTY DOLLARS IS UNACCEPTABLE MY BAG ITSELF COST OVER A HUNDRED AND FIFTY DOLLARS YOU CAN'T JUST GIVE ME FIFTY DOLLAR . GIFT CERTIFICATE  TO PERCOES OR WHATEVER THE HELL . AND THEN SEND ME OFF LIKE THAT'S THAT'S GOOD ENOUGH LIKE THAT'S ALL I NEEDED WAS FIFTY DOLLARS MY BAG IS WORTH MORE THAN THAT .
803,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04M_impro01_M024.wav,e2,OKAY FINE I'LL GO OVER THERE THANKS A LOT YOU'VE BEEN REALLY HELPFUL .
967,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_script02_2_F006.wav,e2,WE JUST HAVE DIFFERENT IDEAS OF WHAT THIS  EVENING IS SUPPOSED TO LOOK LIKE .
1382,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01M_script03_1_M037.wav,e1,BUT YOU KNOW IT WASN'T AS BAD AS THE ONE WE HAD IN . CANNES MMHMM . WHERE YOUR CURLING IRONS BURNT A HOLE IN MY DRESSING GOWN .
2103,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_impro07_F061.wav,e1,STUDENT COUNSEL .
