,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03M_impro06_M001.wav,e3,ALRIGHT .
2041,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_impro06_M000.wav,e3,KATHY DIED LAST NIGHT .
1110,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03M_script03_2_M009.wav,e0,YOU WANT SOME BRANDY .
4987,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02F_impro03_M018.wav,e0,YEAH THAT IS HOW LONG YOU GUYS BEEN TOGETHER NOW .
434,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03M_impro02_M005.wav,e3,FOR .
2747,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_impro08_F023.wav,e0,RIGHT  RIGHT AND SINCE YEAH SINCE IT WAS JUST A . COMPUTER GLITCH THEN THAT'S THAT SHOULD BE . CLEARED UP AS WELL SO I'M  GOING TO GO AHEAD AND TRY AND PUT THAT INTO THE COMPUTER AND IF  FOR SOME REASON YOU NOTICE ON YOUR STATEMENT IN A FEW DAYS THAT YOU'VE BEEN CHARGED AND AN OVERDUE FEE THEN . YOU SHOULD JUST CALL BACK AND WE'LL HAVE THAT .
87,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03M_impro06_F016.wav,e3,WELL NOW YOU CAN  FOLLOW HIS FOOTSTEPS YOU  KNOW CARRY OUT WHAT HE WANTED TO DO .
3041,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01M_script01_1_F036.wav,e2,YOU HAVE A BUSINESS HERE . I SAID WHAT THE HELL IS THIS .
2614,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03M_impro08b_M004.wav,e0,OH I'M  SORRY UM DID YOU DROP IT IN WATER .
2712,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_impro05_F019.wav,e2,NO BUT I MEAN LIKE WHY CAN'T WHY CAN'T YOU FIND IT WHERE DID IT GO WHO LOST IT .
5356,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01M_impro03_M001.wav,e1,THIS . GIRL . SHE JUST OFFERED ME FIFTY THOUSAND DOLLARS TO MARRY HER .
2671,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_impro06_F022.wav,e3,SOMETHING HAPPENS AND  THEY DIE AND IT'S LIKE .
2753,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_impro07_F065.wav,e1,{LG} .
3973,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_impro08_F008.wav,e0,UH I DON'T KNOW WHERE IT CAME FROM  AND IT'S ACTUALLY QUITE LARGE AND I DON'T HAVE THE MONEY FOR IT SO .
840,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_impro06_F002.wav,e3,METASTASIZED AND IT WAS OLD AND THEY KNEW . THAT IT WASN'T LOOKING GOOD BUT .
645,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_impro01_M005.wav,e0,WELL IS THE DRI . DRIVER'S LICENSE GOING TO WORK .
2540,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_impro07_M019.wav,e1,YEAH ME EITHER .
172,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_impro04_M035.wav,e0,LIKE WHAT'S YOUR IDEAL JOB WHAT DO YOU WANT TO DO .
941,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_script03_2_F005.wav,e2,WHAT OF IT .
101,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03M_impro07_F019.wav,e1,MMMM . SOME MISO SOUP .
1245,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_impro02_M020.wav,e2,YOU'RE ACTING LIKE YOU KNOW YOU'RE THE ONE WHO'S GOING ALL  THROUGH  YOU KNOW ALL THIS SHIT AND IT'S REALLY . IT'S REALLY NOT .
2167,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02F_script02_2_M023.wav,e0,TAKE OFF OUR SHOES .
293,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03F_impro08_M006.wav,e2,YOU KNOW WHAT I'M JUST GOING . TO . PATIENT  I'M A BUSY MAN .
3429,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_script03_2_M033.wav,e0,BETTER TURN THAT OFF I THINK .
1478,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_script03_2_M001.wav,e2,I KNEW NOTHING OF THE SORT . YOU TOOK PRESENTS FROM HIM .
2557,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04M_impro07_F002.wav,e1,I DIDN'T . EVEN .
4792,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_impro06_F004.wav,e3,{BR} .
2011,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_impro03_F032.wav,e1,MM HMM .
59,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04M_impro06_F009.wav,e3,WELL I KNOW IT'S NOT . A LOT . OF HELP  OR ANYTHING . BUT . AT LEAST YOU GOT TO KNOW HIM I MEAN AT LEAST YOU HAD THE TIME WITH  HIM THAT YOU DID .
5201,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04M_impro01_F002.wav,e0,OKAY  THIS IS THE WRONG FORM I'M SORRY .
2380,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04M_impro04_F013.wav,e0,YOU DIDN'T DO WHAT I TOLD YOU TO DO .
4925,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05M_impro06_M000.wav,e3,I JUST . GOT SOME BAD NEWS .
4144,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01F_impro05_F025.wav,e2,I DON'T WANT MONEY I WANT MY CLOTHES .
2497,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03M_script02_2_F046.wav,e1,NO I'M . BEGINNING TO THINK YOU MIGHT BE RIGHT .
1816,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04M_script01_2_F011.wav,e2,NOBODY IN THIS HOUSE DARES TAKE HER FAITH AWAY JOE  STRANGERS MIGHT BUT NOT HIS FATHER NOT HIS BROTHER .
2210,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03F_impro06_F001.wav,e3,YEAH  WOW .
3176,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_impro03_M037.wav,e1,THE EXACT RIGHT GUY I  FULLY APPROVE HE'S  A WONDERFUL GUY . WE HAVE A GREAT TIME HE CAN DRINK  THAT'S AWESOME .
3572,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02F_script02_2_F042.wav,e1,WELL THEN WE DON'T NEED GLASSES .
4536,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_script03_2_F041.wav,e2,FINALLY  AND FOREVER .
2957,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05M_script02_2_M030.wav,e3,I'M TRYING THE BEST I CAN .
3968,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03M_script01_2_F006.wav,e2,NO . SHE'S NOT HIS GIRL JOE AND SHE KNOWS THAT .
5290,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_script03_2_M010.wav,e0,I'LL HAVE A LITTLE I THINK .
1592,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_impro03_M000.wav,e0,WHAT . YOU SEEM SO EXCITED .
5118,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01M_impro06_M007.wav,e3,HE KIND OF DIDN'T HAVE ANYONE TO TAKE CARE OF THAT FOR HIM . SO .
2607,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01M_impro07_F020.wav,e0,OH  THAT . IS INCREDIBLE IS IT .
3474,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02F_impro08_F025.wav,e0,YEAH . I COMPLETELY UNDERSTAND IT'S A DIFFICULT PROCESS SOMETIMES AND WE WANT TO MAKE TRAVELING AS EASY AS POSSIBLE .
1727,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05M_impro02_M013.wav,e3,I DON'T HAVE I  KNOW . WHAT ARE WE GONNA WHAT ARE WE JUST RUN AWAY  WHAT CAN I DO WHERE CAN WE GO .
2166,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05M_impro04_M019.wav,e2,AN ABRASIVE VIBE .
2794,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04M_impro07_F026.wav,e0,OKAY WELL THAT'S COOL TOO BUT LIKE .
3319,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04M_impro07_F003.wav,e1,KNOW YOU APPLIED TO U S  C .
1201,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_impro04_M022.wav,e0,WELL  EXACTLY . MONEY IS NOT EVERYTHING .
4913,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_impro03_M039.wav,e1,OF COURSE OF COURSE SHE WILL  OF COURSE SHE WILL  YEAH DON'T GO AND DISAPPEAR LIKE EVERYONE ELSE AFTER THEY GET MARRIED AND I NEVER SEE THEM AGAIN . THAT'LL MAKE ME MAD YOU DON'T WANT TO MAKE ME MAD YOU KNOW HOW I GET WHEN I GET MAD .
4032,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01F_impro02_F017.wav,e3,WE'VE GOT FRIENDS THAT'S WHY WE MOVED . HERE . HUH  BECAUSE THERE . IS A DAY CARE DOWN THE STREET .
3276,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05M_impro07_M034.wav,e1,CHEAP IS EXACTLY WHAT I NEED . BECAUSE I HAVE NO MONEY AT ALL .
3392,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_impro07_M032.wav,e1,{LG} THANKS YES  THANKS  YES . THAT'LL BE COOL .
1859,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04M_script02_2_F020.wav,e3,NO .
4336,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01F_script01_3_M024.wav,e3,I DON'T EVEN KNOW HOW TO START .
5472,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01M_script03_2_M022.wav,e2,YOU KNOW IT'S A PITY YOU DIDN'T HAVE ANY MORE BRANDY IT WOULD HAVE MADE YOU JUST A LITTLE LESS DISAGREEABLE .
1626,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05M_script01_1_F018.wav,e2,WELL WHAT DO YOU WANT ME TO DO YOU'RE OLD ENOUGH TO MAKE TO KNOW YOUR OWN MIND .
1563,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05M_script01_1_M033.wav,e2,BUT IF THAT CAN'T HAPPEN  I'LL JUST HAVE TO GET OUT .
165,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_script01_2_M008.wav,e0,YOU CAN'T READ HER MIND .
3197,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03F_impro07_M026.wav,e1,HELL YEAH  PASS OUT .
951,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_impro06_M020.wav,e3,TO TALK TO SOMEBODY BUT .
4712,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02F_impro06_M014.wav,e0,I KNOW IT DOESN'T BRING HIM BACK . BUT .
1322,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_impro07_F016.wav,e1,YOU GET TO LIKE BE A . PART OF THAT .
4386,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01F_script02_2_F006.wav,e2,DON'T  ASK ME THAT  I HATE IT WHEN YOU ASK ME THAT YOU ALWAYS ASK ME THAT IT'S INSULTING .
3040,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_script03_1_F028.wav,e1,THEN THE MANAGER CAME IN AND FOUND US ROLLING ABOUT ON THE FLOOR BITING AND SCRATCHING LIKE  PANTHERS .
4952,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_script03_2_F004.wav,e0,MAYBE JUST A LITTLE BUT .
870,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02F_impro08_F014.wav,e0,YEAH .
1217,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_impro07_F003.wav,e1,OH MY GOSH THAT'S SO COOL .
3229,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01M_script03_2_F029.wav,e2,SHUT UP .
1439,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_impro05_F008.wav,e0,I  I . I UNDERSTAND BUT UM .
3339,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_impro05_F003.wav,e0,ACTUALLY I'M LOOKING HERE AT THE INFORMATION  THE FLIGHT THAT YOU WERE ON WE HAD SOME  TROUBLE WITH  SOME . OF THE BAGGAGE IT LOOKS LIKE A FEW PEOPLES BAGS DIDN'T MAKE IT THROUGH  UM  SO .
3648,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_script01_1_F029.wav,e2,I DON'T SEE WHY IT HAS TO BE ANNIE .
3240,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05M_impro07_F016.wav,e0,OH YEAH .
805,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05M_script01_3_M020.wav,e3,NO  NOTHING LIKE THAT .
4257,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01F_script01_1_F041.wav,e2,ALL RIGHT BUT YOU DON'T WANT TO  THINK LIKE  THAT . BECAUSE WHAT THE HELL ARE WE WORKING FOR CHRIS IT'S ALL FOR YOU THIS WHOLE SHOOTING MATCH IS FOR YOU .
5098,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03M_impro08a_M019.wav,e0,WHAT I CAN DO FOR YOU IF YOU WANT TO MAKE A CALL RIGHT NOW I COULD . CONTACT YOU THROUGH OUR COMPUTER I CAN CALL THROUGH MY PHONE AND  YOU CAN SPEAK THROUGH ME .
3499,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01M_script02_2_M029.wav,e0,WHAT HUH .
1281,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_script01_3_F013.wav,e1,EVERY DAY SINCE .
1453,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02F_script03_1_M020.wav,e1,NO NO IT ISN'T  DEATH IS VERY LAUGHABLE SUCH A CUNNING . LITTLE MYSTERY ALL DONE WITH MIRRORS .
2409,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05M_impro08_M019.wav,e0,IT'S SET TO ZEROS OKAY MAYBE THAT'S OUR PROBLEM THAT COULD VERY WELL BE OUR PROBLEM THERE . SOMEHOW YOU'VE LOST YOUR IP ADDRESS I'M NOT SURE WHY THAT WOULD HAPPEN EVERY WEEK  IT COULD BE A CYCLING ISSUE SOMETHING LIKE THAT BUT LET'S GO AHEAD AND TYPE YOUR IP ADDRESS IN AGAIN .
4006,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01M_impro06_M009.wav,e3,NO .
2941,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_impro06_F009.wav,e1,AND TO DRINK IN HIS HONOR {LG} .
5070,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_script02_2_F005.wav,e2,GOD . DAMN IT AUGIE  WHY DO YOU ALWAYS ASK THINGS LIKE THAT IT'S SO INSULTING .
1644,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_script03_2_F040.wav,e2,THIS IS THE END  DO YOU UNDERSTAND THE END .
3272,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_impro05_F004.wav,e2,LOST IT JUST LIKE . I MEAN .
5005,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03M_script01_2_M014.wav,e2,ALRIGHT ALRIGHT CALM YOURSELF OKAY CALM YOURSELF . WAIT WAIT  WHAT DO YOU MEAN ME ABOVE ALL .
1192,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02F_impro08_M009.wav,e0,WELL . YOU KNOW  WE WANTED TO WE WANTED TO GO TO MAUI . AND THAT WAS A .
239,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01M_script02_1_M010.wav,e0,OF COURSE  OUR FLASHLIGHT  WHAT'S YOUR IS MINE . MI FLASHLIGHT ES SU  FLASHLIGHT .
2360,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_script03_2_M044.wav,e2,YOU'RE NOT .
3555,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05F_impro04_F017.wav,e3,I DON'T KNOW MAYBE I CAN TAKE OUT A LOAN I JUST I NEED PROSPECTS AND I DON'T FEEL LIKE I HAVE ANY .
4522,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01F_impro01_F014.wav,e0,CLEARLY . YOU KNOW DO YOU HAVE LIKE A SUPERVISOR OR SOMETHING .
180,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01M_script01_3_M040.wav,e3,I FELT ASHAMED AND I DIDN'T WANT ANY PART OF IT I GUESS I INCLUDED YOU TOO .
1771,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_impro03_M038.wav,e1,JUST . ECSTATIC I CAN'T BELIEVE YOU'RE MY BEST FRIEND .
74,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses05M_impro03_M012.wav,e1,WASN'T THAT GREAT  I DIDN'T WANT IT TO BE TOO HOKEY BUT  BUT SHE LIKED IT . SHE LIKED IT .
3274,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_impro06_M010.wav,e3,SHE WAS {NS} .
1942,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02F_script01_2_F005.wav,e2,IT'S GOT  THAT  ALL ABOUT IT .
2732,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_impro05_F010.wav,e2,YEAH WELL THAT'S GOT EVERYTHING I HAVE IN IT .
4440,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01F_script03_1_F024.wav,e1,OH . CHARLES THAT WAS HIS  NAME HE DID WIGGLE SO BEAUTIFULLY .
5491,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_impro07_M073.wav,e0,YEAH .
4823,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03M_impro08b_M018.wav,e0,THEY MIGHT ONLY HAVE  ORANGE .
3911,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01M_impro07_M008.wav,e1,BUT I DON'T KNOW I WANT TO LIVE IN THE HOUSING THAT THEY GIVE ME THOUGH CAUSE I THINK I WANT TO YOU KNOW LIKE GET LIKE A NICER PLACE .
2545,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02F_impro02_F007.wav,e3,AND  I MEAN MY DAUGHTER  I DON'T WANT TO PUT HER IN DANGER YOU KNOW . SHE HAS TO STAY .
4882,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04M_script01_3_M027.wav,e3,IT TAKES A LITTLE TIME TO TOSS THAT OFF BECAUSE  THEY WEREN'T JUST MEN .
4043,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01F_impro02_M014.wav,e3,I CAN'T RAISE A BABY BY MYSELF . HOW .
4321,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01F_script01_3_M001.wav,e0,YOU'RE NOT SORRY YOU CAME .
3989,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02F_impro05_M014.wav,e0,NO UM  LIKE I SAID YOU CAN FILE A CLAIM AND UH  MAYBE GET REIMBURSED FOR MORE YOU .
1719,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02F_impro07_M034.wav,e1,YOU'RE GETTING CLOSE TO THE BEACH I MEAN GEEZ .
5094,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01M_script01_3_F001.wav,e0,OH IT'S . NOT BAD  THING  IT'S GOOD THING .
3086,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03M_script02_2_M029.wav,e2,DO YOU THINK . THAT THIS IS WHAT I HAD IN MIND  THAT FOUR YEARS DOWN THE LINE . THAT WE'D GET MARRIED AND COME TO THE BEACH AND ARGUE WITH EACH OTHER OVER FISH . NO .
2092,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03F_impro08_F028.wav,e0,AND WE WILL TAKE CARE OF IT IF ANYTHING HAPPENS BUT ALL WE CAN DO NOW IS ASK FOR YOUR PATIENCE .
1820,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03F_script03_2_M012.wav,e0,NO PARTICULAR REASON ANYHOW THEY WERE VERY SMALL ONES .
1286,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04M_impro02_F020.wav,e3,WHEN DO YOU LEAVE .
1685,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_script03_2_F040.wav,e2,OH YES . I AM .
5326,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_script03_2_F034.wav,e2,VERY WELL IF YOU INSIST ON BEING BOORISH AND IDIOTIC .
632,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03F_impro06_F030.wav,e3,SO I WAS THERE FOR HIM .
5476,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03M_impro08a_M002.wav,e0,OKAY CAN YOU GIVE ME THE LAST FOUR DIGITS OF YOUR SOCIAL SECURITY NUMBER SO I CAN VERIFY . WHO I'M SPEAKING WITH .
384,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01M_impro03_M018.wav,e0,JUST CASH HARDCORE .
2528,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_script02_2_F034.wav,e3,I KNOW THAT YOU MEANT THIS TO BE SPECIAL AND NICE  AND . THERE'S THE SAND AND THE MOON AND EVERYTHING BUT I . JUST . COULDN'T HELP THINKING ABOUT  BEING SOMEWHERE ELSE .
686,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses03M_impro05a_M004.wav,e2,IS IT THERE .
806,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_script01_1_F037.wav,e2,MUST YOU BE INSPIRED .
851,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses02M_script03_2_M024.wav,e0,TELL ME  DID YOU SEE MUCH OF PETER BURDEN AFTER OUR DIVORCE .
2170,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses04F_impro02_F007.wav,e3,I HAVE  TO DO THIS . I DON'T WANT TO LEAVE DO YOU THINK I WANT TO MISS SEEING HER GROW UP .
4500,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01F_script03_2_M023.wav,e2,DID YOU SEE MUCH OF PETER BURDEN AFTER OUR DIVORCE .
3016,/data/jiayu_xiao/IEMOCAP/path_to_wavs/Ses01M_impro01_M032.wav,e2,CAUSE YOU'RE OBVIOUSLY NOT TALKING TO ME YOU'RE JUST YELLING AT ME BERATING ME AND TELLING ME I CAN'T FILL OUT FORMS RIGHT .
